loss,accuracy,val_loss,val_accuracy,lr
0.39920908212661743,0.8524697422981262,5.964792728424072,0.6919897794723511,0.001
0.25894254446029663,0.9021234512329102,0.7088768482208252,0.7965494990348816,0.001
0.23499003052711487,0.9088664054870605,0.9594033360481262,0.6929434537887573,0.001
0.2264435589313507,0.9118992686271667,0.9408173561096191,0.7031994462013245,0.001
0.21832863986492157,0.9143903851509094,1.6179683208465576,0.6018924117088318,0.001
0.2006579339504242,0.920183002948761,1.0533831119537354,0.6639617085456848,0.0005
0.18943074345588684,0.9243828654289246,0.5480766892433167,0.7829426527023315,0.0005
0.17952390015125275,0.9280503392219543,0.5912802815437317,0.7801781296730042,0.0005
0.167512908577919,0.9324470162391663,0.6186220645904541,0.7820778489112854,0.0005
0.1610083132982254,0.9345264434814453,0.6164596080780029,0.7745558619499207,0.0005
0.15486447513103485,0.9367004632949829,0.7160657048225403,0.7666689157485962,0.00025
0.14835667610168457,0.9390431046485901,0.562813401222229,0.7996541261672974,0.00025
0.14499960839748383,0.9402545690536499,0.5272331237792969,0.8184676170349121,0.00025
0.14358457922935486,0.9406545162200928,0.49837160110473633,0.8334012627601624,0.00025
0.1392362415790558,0.9424307346343994,0.582039475440979,0.8234831094741821,0.00025
0.1401081532239914,0.9420322775840759,0.6938238143920898,0.7849898338317871,0.00025
0.14074163138866425,0.941785991191864,0.5786486864089966,0.835757315158844,0.00025
0.13184598088264465,0.9452222585678101,0.49415040016174316,0.8547523021697998,0.000125
0.13017964363098145,0.9458425045013428,0.43406492471694946,0.8680599331855774,0.000125
0.1271260380744934,0.9470072984695435,0.3911398649215698,0.8763843178749084,0.000125
0.12403347343206406,0.9481897354125977,0.39401739835739136,0.8818771839141846,0.000125
0.12244321405887604,0.9487085938453674,0.3690921366214752,0.8852807283401489,0.000125
0.11861040443181992,0.950251042842865,0.3654977083206177,0.8907074332237244,0.000125
0.11646069586277008,0.9510834217071533,0.37308430671691895,0.8901413083076477,0.000125
0.11691764742136002,0.9508231282234192,0.3644435703754425,0.8936173915863037,0.000125
0.11466946452856064,0.9518303275108337,0.3364672362804413,0.8995436429977417,0.000125
0.11648456007242203,0.9511215090751648,0.31932833790779114,0.8989693522453308,0.000125
0.11398913711309433,0.9520358443260193,0.3369027078151703,0.8984751105308533,0.000125
0.1127178966999054,0.952617883682251,0.3088775873184204,0.9058603048324585,0.000125
0.11077156662940979,0.9533499479293823,0.30716457962989807,0.9076547026634216,0.000125
0.10884670168161392,0.9541217684745789,0.3310643136501312,0.9032983183860779,0.000125
0.1100073754787445,0.9537187218666077,0.2963079512119293,0.9081152081489563,0.000125
0.1102558895945549,0.953660249710083,0.3191612660884857,0.906533420085907,0.000125
0.10778702050447464,0.9545004963874817,0.3109041154384613,0.9047343730926514,0.000125
0.10701319575309753,0.9548619389533997,0.3044576942920685,0.9103304147720337,0.000125
0.10394302010536194,0.9561161398887634,0.3004859387874603,0.9124425053596497,6.25e-05
0.10197142511606216,0.9568847417831421,0.3057331144809723,0.9080014228820801,6.25e-05
0.10032165050506592,0.9576475620269775,0.30108049511909485,0.9118467569351196,6.25e-05
0.09945189952850342,0.9578635096549988,0.3004207909107208,0.9129846096038818,3.125e-05
0.09819056838750839,0.9584160447120667,0.30438724160194397,0.9114106297492981,3.125e-05
